# Ag_i,Au_i,Cu_i,Ir_i,Pd_i,Pt_i,Rh_i,Ru_i,Ag_f,Au_f,Cu_f,Ir_f,Pd_f,Pt_f,Rh_f,Ru_f,Ag_d,Au_d,Cu_d,Ir_d,Pd_d,Pt_d,Rh_d,Ru_d,Sd
0.1302,0.1406,0.1432,0.1068,0.1068,0.1250,0.1042,0.1432,0.2674,0.1188,0.0000,0.1980,0.1584,0.1683,0.0891,0.0000,0.0732,0.0000,0.2622,0.1423,0.0488,0.0345,0.1910,0.2480,0.2630
0.1276,0.1172,0.1172,0.1068,0.1302,0.1250,0.1302,0.1458,0.1413,0.1739,0.0000,0.1413,0.1848,0.2935,0.0652,0.0000,0.1053,0.0000,0.1821,0.1286,0.0875,0.0536,0.2143,0.2286,0.2396
0.1250,0.1250,0.1276,0.1302,0.1484,0.1198,0.1198,0.1042,0.2080,0.1782,0.0000,0.1980,0.1782,0.1683,0.0693,0.0000,0.1180,0.0000,0.2464,0.1615,0.0662,0.0414,0.1677,0.1988,0.2630
0.1172,0.1224,0.1406,0.1250,0.1302,0.1406,0.1094,0.1146,0.2476,0.1714,0.0000,0.1524,0.2191,0.1619,0.0476,0.0000,0.0659,0.0000,0.2495,0.1697,0.0659,0.0219,0.1896,0.2375,0.2734
0.1328,0.1198,0.1172,0.1458,0.1120,0.1510,0.1224,0.0990,0.1371,0.1451,0.0000,0.2097,0.2339,0.2339,0.0403,0.0000,0.0945,0.0000,0.2051,0.1590,0.0576,0.0299,0.2212,0.2327,0.3229
0.1224,0.1302,0.1406,0.1146,0.1068,0.0990,0.1484,0.1380,0.1735,0.1837,0.0000,0.2041,0.1530,0.2245,0.0612,0.0000,0.0710,0.0019,0.2419,0.1267,0.0576,0.0422,0.2418,0.2169,0.2552
0.1328,0.1016,0.1328,0.0781,0.1511,0.1224,0.1406,0.1406,0.2294,0.2752,0.0000,0.1101,0.1376,0.2018,0.0459,0.0000,0.1020,0.0000,0.2347,0.1089,0.0986,0.0544,0.1939,0.2075,0.2839
0.1198,0.1276,0.1562,0.1146,0.1250,0.0990,0.1198,0.1380,0.1714,0.1429,0.0000,0.1714,0.2476,0.2286,0.0381,0.0000,0.0801,0.0000,0.2350,0.1566,0.0729,0.0310,0.2095,0.2149,0.2734
0.1484,0.1198,0.1198,0.1198,0.1250,0.1432,0.1120,0.1120,0.1545,0.2520,0.0000,0.2358,0.1545,0.1788,0.0244,0.0000,0.0738,0.0000,0.2438,0.1365,0.0626,0.0336,0.2327,0.2170,0.3203
0.0755,0.1276,0.1094,0.1484,0.1198,0.1615,0.1380,0.1198,0.1132,0.1792,0.0000,0.2453,0.1887,0.2453,0.0283,0.0000,0.0971,0.0000,0.2191,0.1676,0.0743,0.0362,0.1867,0.2190,0.2760
