# Au,Ir,Pd,Pt,Rh,Ru
0.041,0.179,0.179,0.206,0.209,0.186
0.061,0.209,0.179,0.214,0.230,0.107
0.066,0.222,0.192,0.234,0.204,0.084
0.051,0.223,0.191,0.242,0.217,0.076
0.047,0.235,0.208,0.235,0.195,0.081
0.056,0.250,0.215,0.229,0.188,0.062
0.056,0.246,0.211,0.232,0.183,0.070
0.056,0.243,0.208,0.229,0.181,0.083
0.058,0.225,0.217,0.254,0.188,0.058
0.058,0.226,0.219,0.255,0.182,0.058
0.058,0.219,0.219,0.263,0.182,0.058
0.060,0.216,0.224,0.254,0.187,0.060
0.060,0.216,0.216,0.261,0.179,0.067
0.060,0.218,0.218,0.263,0.180,0.060
0.059,0.222,0.215,0.259,0.178,0.067
0.060,0.224,0.216,0.261,0.172,0.067
0.061,0.227,0.227,0.250,0.174,0.061
0.061,0.227,0.227,0.250,0.174,0.061
