# Ir,Pd,Pt,Rh,Ru
0.166,0.216,0.193,0.203,0.223
0.186,0.221,0.214,0.264,0.114
0.226,0.236,0.189,0.217,0.132
0.264,0.242,0.187,0.220,0.088
0.257,0.239,0.220,0.220,0.064
0.264,0.217,0.217,0.217,0.085
0.295,0.210,0.238,0.210,0.048
0.278,0.196,0.247,0.216,0.062
0.298,0.170,0.266,0.202,0.064
0.283,0.196,0.283,0.196,0.043
0.293,0.207,0.272,0.163,0.065
0.295,0.216,0.284,0.159,0.045
0.300,0.222,0.278,0.156,0.044
0.292,0.213,0.281,0.157,0.056
0.295,0.216,0.273,0.159,0.057
0.302,0.221,0.279,0.151,0.047
0.302,0.221,0.279,0.151,0.047
